,energy,tempo,danceability,playlist_genre,loudness,liveness,valence,time_signature,speechiness,track_popularity,track_id,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,acousticness,playlist_subgenre
31,0.646,115.842,0.645,pop,-8.334,0.074,0.295,4,0.0427,81,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),2024-03-08,3.04e-05,1,5,228639,0.0615,mainstream
32,0.471,105.029,0.472,pop,-5.692,0.14,0.219,3,0.0603,85,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,2024-01-18,0.0,1,10,180304,0.151,mainstream
33,0.709,194.055,0.744,pop,-5.778,0.0847,0.712,4,0.284,84,0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),2024-10-17,0.0,0,6,130880,0.0501,mainstream
34,0.904,167.033,0.739,pop,-2.655,0.0948,0.788,4,0.0442,85,6aJn7Cst74cj4lNIiPRgav,Touch,2024-07-26,1.03e-05,0,5,129883,0.549,mainstream
35,0.604,159.92,0.561,pop,-4.409,0.104,0.242,3,0.0337,89,17phhZDn6oGtzMe56NuWvj,Lose Control,2023-09-15,1.9e-05,1,9,210689,0.199,mainstream
36,0.668,90.969,0.646,pop,-5.203,0.212,0.64,4,0.0282,82,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2024-02-16,0.0,1,2,148318,0.491,mainstream
37,0.668,128.027,0.924,pop,-6.795,0.0678,0.787,4,0.0469,93,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,2024-06-21,0.000594,1,11,195824,0.446,mainstream
38,0.454,159.982,0.689,pop,-7.643,0.0707,0.912,4,0.0584,89,3qhlB30KknSejmIvZZLjOD,End of Beginning,2022-09-16,0.00259,1,2,159246,0.0351,mainstream
39,0.386,192.004,0.504,pop,-10.976,0.0961,0.281,4,0.0308,84,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),2024-04-18,1.53e-05,1,11,228965,0.502,mainstream
40,0.681,155.079,0.56,pop,-6.304,0.106,0.388,4,0.244,89,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024-09-20,0.0,0,6,223320,0.103,mainstream
41,0.472,101.061,0.898,pop,-7.001,0.141,0.214,4,0.0776,88,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024-05-04,0.0,1,1,274192,0.0107,mainstream
42,0.711,146.921,0.487,pop,-4.22,0.152,0.317,4,0.0322,85,4p7DTkyrKqT98xlIwYYfXz,Running Wild,2024-11-15,0.0,1,8,151647,0.000175,mainstream
